sentence,word,label
Jin janab ne phone uthaya tha un k mon se E call karne ka shukria・k ilawa kuch nikal hi na paya.,Jin,URD
Jin janab ne phone uthaya tha un k mon se E call karne ka shukria・k ilawa kuch nikal hi na paya.,janab,URD
Jin janab ne phone uthaya tha un k mon se E call karne ka shukria・k ilawa kuch nikal hi na paya.,ne,URD
Jin janab ne phone uthaya tha un k mon se E call karne ka shukria・k ilawa kuch nikal hi na paya.,phone,MIX
Jin janab ne phone uthaya tha un k mon se E call karne ka shukria・k ilawa kuch nikal hi na paya.,uthaya,URD
Jin janab ne phone uthaya tha un k mon se E call karne ka shukria・k ilawa kuch nikal hi na paya.,tha,URD
Jin janab ne phone uthaya tha un k mon se E call karne ka shukria・k ilawa kuch nikal hi na paya.,un,URD
Jin janab ne phone uthaya tha un k mon se E call karne ka shukria・k ilawa kuch nikal hi na paya.,k,URD
Jin janab ne phone uthaya tha un k mon se E call karne ka shukria・k ilawa kuch nikal hi na paya.,mon,URD
Jin janab ne phone uthaya tha un k mon se E call karne ka shukria・k ilawa kuch nikal hi na paya.,se,URD
Jin janab ne phone uthaya tha un k mon se E call karne ka shukria・k ilawa kuch nikal hi na paya.,E,URD
Jin janab ne phone uthaya tha un k mon se E call karne ka shukria・k ilawa kuch nikal hi na paya.,call,ENG
Jin janab ne phone uthaya tha un k mon se E call karne ka shukria・k ilawa kuch nikal hi na paya.,karne,URD
Jin janab ne phone uthaya tha un k mon se E call karne ka shukria・k ilawa kuch nikal hi na paya.,ka,URD
Jin janab ne phone uthaya tha un k mon se E call karne ka shukria・k ilawa kuch nikal hi na paya.,shukria・k,URD
Jin janab ne phone uthaya tha un k mon se E call karne ka shukria・k ilawa kuch nikal hi na paya.,ilawa,URD
Jin janab ne phone uthaya tha un k mon se E call karne ka shukria・k ilawa kuch nikal hi na paya.,kuch,URD
Jin janab ne phone uthaya tha un k mon se E call karne ka shukria・k ilawa kuch nikal hi na paya.,nikal,URD
Jin janab ne phone uthaya tha un k mon se E call karne ka shukria・k ilawa kuch nikal hi na paya.,hi,URD
Jin janab ne phone uthaya tha un k mon se E call karne ka shukria・k ilawa kuch nikal hi na paya.,na,URD
Jin janab ne phone uthaya tha un k mon se E call karne ka shukria・k ilawa kuch nikal hi na paya.,paya.,URD
"overall phone is good laikan in market bsck cover aor glass nhi mil raha , ye saath bhejhna chahiye tha",overall,URD
"overall phone is good laikan in market bsck cover aor glass nhi mil raha , ye saath bhejhna chahiye tha",phone,MIX
"overall phone is good laikan in market bsck cover aor glass nhi mil raha , ye saath bhejhna chahiye tha",is,ENG
"overall phone is good laikan in market bsck cover aor glass nhi mil raha , ye saath bhejhna chahiye tha",good,ENG
"overall phone is good laikan in market bsck cover aor glass nhi mil raha , ye saath bhejhna chahiye tha",laikan,URD
"overall phone is good laikan in market bsck cover aor glass nhi mil raha , ye saath bhejhna chahiye tha",in,URD
"overall phone is good laikan in market bsck cover aor glass nhi mil raha , ye saath bhejhna chahiye tha",market,URD
"overall phone is good laikan in market bsck cover aor glass nhi mil raha , ye saath bhejhna chahiye tha",bsck,URD
"overall phone is good laikan in market bsck cover aor glass nhi mil raha , ye saath bhejhna chahiye tha",cover,URD
