sentence,word,label
Taham Baba e Urdu ki marqa nigari is saqam se pak hai,Taham,URD
Taham Baba e Urdu ki marqa nigari is saqam se pak hai,Baba,URD
Taham Baba e Urdu ki marqa nigari is saqam se pak hai,e,URD
Taham Baba e Urdu ki marqa nigari is saqam se pak hai,Urdu,URD
Taham Baba e Urdu ki marqa nigari is saqam se pak hai,ki,URD
Taham Baba e Urdu ki marqa nigari is saqam se pak hai,marqa,URD
Taham Baba e Urdu ki marqa nigari is saqam se pak hai,nigari,URD
Taham Baba e Urdu ki marqa nigari is saqam se pak hai,is,ENG
Taham Baba e Urdu ki marqa nigari is saqam se pak hai,saqam,URD
Taham Baba e Urdu ki marqa nigari is saqam se pak hai,se,URD
Taham Baba e Urdu ki marqa nigari is saqam se pak hai,pak,URD
Taham Baba e Urdu ki marqa nigari is saqam se pak hai,hai,URD
Is ke bad Steven Seagal ki lagataar 3 films box office par kamiyabi ke jhande garhne meinkamiyab rahin,Is,ENG
Is ke bad Steven Seagal ki lagataar 3 films box office par kamiyabi ke jhande garhne meinkamiyab rahin,ke,URD
Is ke bad Steven Seagal ki lagataar 3 films box office par kamiyabi ke jhande garhne meinkamiyab rahin,bad,ENG
Is ke bad Steven Seagal ki lagataar 3 films box office par kamiyabi ke jhande garhne meinkamiyab rahin,Steven,URD
Is ke bad Steven Seagal ki lagataar 3 films box office par kamiyabi ke jhande garhne meinkamiyab rahin,Seagal,URD
Is ke bad Steven Seagal ki lagataar 3 films box office par kamiyabi ke jhande garhne meinkamiyab rahin,ki,URD
Is ke bad Steven Seagal ki lagataar 3 films box office par kamiyabi ke jhande garhne meinkamiyab rahin,lagataar,URD
Is ke bad Steven Seagal ki lagataar 3 films box office par kamiyabi ke jhande garhne meinkamiyab rahin,3,URD
Is ke bad Steven Seagal ki lagataar 3 films box office par kamiyabi ke jhande garhne meinkamiyab rahin,films,URD
Is ke bad Steven Seagal ki lagataar 3 films box office par kamiyabi ke jhande garhne meinkamiyab rahin,box,URD
Is ke bad Steven Seagal ki lagataar 3 films box office par kamiyabi ke jhande garhne meinkamiyab rahin,office,MIX
Is ke bad Steven Seagal ki lagataar 3 films box office par kamiyabi ke jhande garhne meinkamiyab rahin,par,URD
Is ke bad Steven Seagal ki lagataar 3 films box office par kamiyabi ke jhande garhne meinkamiyab rahin,kamiyabi,URD
Is ke bad Steven Seagal ki lagataar 3 films box office par kamiyabi ke jhande garhne meinkamiyab rahin,ke,URD
Is ke bad Steven Seagal ki lagataar 3 films box office par kamiyabi ke jhande garhne meinkamiyab rahin,jhande,URD
Is ke bad Steven Seagal ki lagataar 3 films box office par kamiyabi ke jhande garhne meinkamiyab rahin,garhne,URD
Is ke bad Steven Seagal ki lagataar 3 films box office par kamiyabi ke jhande garhne meinkamiyab rahin,meinkamiyab,URD
Is ke bad Steven Seagal ki lagataar 3 films box office par kamiyabi ke jhande garhne meinkamiyab rahin,rahin,URD
YE aunty ko dikha do Please :D,YE,URD
YE aunty ko dikha do Please :D,aunty,URD
YE aunty ko dikha do Please :D,ko,URD
YE aunty ko dikha do Please :D,dikha,URD
YE aunty ko dikha do Please :D,do,URD
YE aunty ko dikha do Please :D,Please,ENG
YE aunty ko dikha do Please :D,:D,URD
Name Shafqat mother name aasia khatoun. Age 32.. Job k lia aur achi life,Name,URD
Name Shafqat mother name aasia khatoun. Age 32.. Job k lia aur achi life,Shafqat,URD
Name Shafqat mother name aasia khatoun. Age 32.. Job k lia aur achi life,mother,URD
Name Shafqat mother name aasia khatoun. Age 32.. Job k lia aur achi life,name,URD
Name Shafqat mother name aasia khatoun. Age 32.. Job k lia aur achi life,aasia,URD
Name Shafqat mother name aasia khatoun. Age 32.. Job k lia aur achi life,khatoun.,URD
Name Shafqat mother name aasia khatoun. Age 32.. Job k lia aur achi life,Age,URD
Name Shafqat mother name aasia khatoun. Age 32.. Job k lia aur achi life,32..,URD
Name Shafqat mother name aasia khatoun. Age 32.. Job k lia aur achi life,Job,MIX
Name Shafqat mother name aasia khatoun. Age 32.. Job k lia aur achi life,k,URD
Name Shafqat mother name aasia khatoun. Age 32.. Job k lia aur achi life,lia,URD
Name Shafqat mother name aasia khatoun. Age 32.. Job k lia aur achi life,aur,URD
Name Shafqat mother name aasia khatoun. Age 32.. Job k lia aur achi life,achi,URD
Name Shafqat mother name aasia khatoun. Age 32.. Job k lia aur achi life,life,ENG
"Is ke ilawa 1955 tak Sindh soobai kabeena mein wazeer e sehat, ittelaat aur naiyb wazeer e aala ke auhdon par bhi kaam kiya",Is,ENG
"Is ke ilawa 1955 tak Sindh soobai kabeena mein wazeer e sehat, ittelaat aur naiyb wazeer e aala ke auhdon par bhi kaam kiya",ke,URD
"Is ke ilawa 1955 tak Sindh soobai kabeena mein wazeer e sehat, ittelaat aur naiyb wazeer e aala ke auhdon par bhi kaam kiya",ilawa,URD
"Is ke ilawa 1955 tak Sindh soobai kabeena mein wazeer e sehat, ittelaat aur naiyb wazeer e aala ke auhdon par bhi kaam kiya",1955,URD
